"Park1","Park2","distance","duration","origin","destination","status"
"Afton State Park MN","Split Rock Lighthouse State Park MN","345884","12236","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Split Rock Lighthouse State Park, 3755 Split Rock Lighthouse Road, Two Harbors, MN 55616, USA",TRUE
"Afton State Park MN","Temperance River State Park MN","401046","14509","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Temperance River State Park, 7620 West Highway 61, Schroeder, MN 55613, United States",TRUE
"Afton State Park MN","Tettegouche State Park MN","366033","13093","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Tettegouche State Park, 5702 MN-61, Silver Bay, MN 55614, USA",TRUE
"Afton State Park MN","Upper Sioux Agency State Park MN","231466","9345","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Upper Sioux Agency State Park, 5908 MN-67, Granite Falls, MN 56241, USA",TRUE
"Afton State Park MN","Whitewater State Park MN","134329","6077","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Whitewater State Park, 19041 MN-74, Altura, MN 55910, USA",TRUE
"Afton State Park MN","Wild River State Park MN","88595","4516","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Wild River State Park, 39797 Park Trail, Center City, MN 55012, USA",TRUE
"Afton State Park MN","William O'Brien State Park MN","46602","2529","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","William O'Brien State Park, 16821 O'Brien Trail N, Marine on St Croix, MN 55047, USA",TRUE
"Afton State Park MN","Zippel Bay State Park MN","573035","21578","Afton State Park, 6959 Peller Ave S, Hastings, MN 55033, USA","Zippel Bay State Park, 3684 54th Ave NW, Williams, MN 56686, USA",TRUE
"Banning State Park MN","Bear Head Lake State Park MN","232534","8555","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Bear Head Lake State Park, 9301 Bear Head State Park Road, Ely, MN 55731, United States",TRUE
"Banning State Park MN","Beaver Creek Valley State Park MN","398888","13774","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Beaver Creek Valley State Park, 15954 County Rd 1, Caledonia, MN 55921, USA",TRUE
"Banning State Park MN","Big Bog State Recreation Area MN","306991","12102","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Big Bog State Recreation Area, 55716 MN-72, Waskish, MN 56685, USA",TRUE
"Banning State Park MN","Big Stone Lake State Park MN","351989","14188","Banning State Park, 61101 Banning Park Rd, Sandstone, MN 55072, United States","Big Stone Lake State Park, 35889 Meadowbrook State Park Road, Ortonville, MN 56278, United States",TRUE
