Park|Hiking.Club|address|lat|long|place_id|status|ID|date|hc.len|len|summer|hc.rating|rating|experience|lake|river|vista|prairie|forest|waterfall
Sibley State Park MN|TRUE|Sibley State Park, 800 Sibley Park Rd NE, New London, MN 56273, USA|45.3244519|-95.0488697|ChIJf8Bp-aBktVIRTQ0LQoa8Yq0|OK||||||||||||||
Split Rock Creek State Park MN|TRUE|Split Rock Creek State Park, 336 50th Ave, Jasper, MN 56144, USA|43.895911|-96.3668441|ChIJm0lsvvTgi4cRxFRm4iA4S4A|OK||||||||||||||
Split Rock Lighthouse State Park MN|TRUE|Split Rock Lighthouse State Park, 3755 Split Rock Lighthouse Road, Two Harbors, MN 55616, USA|47.1963898|-91.3912157|ChIJvcX13VhJr1IRdrXFakaY1aI|OK||||||||||||||
Temperance River State Park MN|TRUE|Temperance River State Park, 7620 West Highway 61, Schroeder, MN 55613, United States|47.555824|-90.871819|ChIJtw75WYgkplIR9yqqucXKBr0|OK||||||||||||||
Tettegouche State Park MN|TRUE|Tettegouche State Park, 5702 MN-61, Silver Bay, MN 55614, USA|47.3393554|-91.1959925|ChIJ7Sg2az2sqFIR-ljZsWlFKXI|OK||||||||||||||
Upper Sioux Agency State Park MN|TRUE|Upper Sioux Agency State Park, 5908 MN-67, Granite Falls, MN 56241, USA|44.7372226|-95.4601579|ChIJMSHY1cCZiocRMtvAp3CuI6k|OK||||||||||||||
Whitewater State Park MN|TRUE|Whitewater State Park, 19041 MN-74, Altura, MN 55910, USA|44.062655|-92.044542|ChIJybS2MmyW-YcRkM7vBrARIXM|OK|spk00280||2.2|10||4|5||0|1|1|1|1|0
Wild River State Park MN|TRUE|Wild River State Park, 39797 Park Trail, Center City, MN 55012, USA|45.5230749|-92.7490594|ChIJs6WI9x5gslIRmTiTxsjKMS8|OK||||||||||||||
William O'Brien State Park MN|TRUE|William O'Brien State Park, 16821 O'Brien Trail N, Marine on St Croix, MN 55047, USA|45.217471|-92.7797272|ChIJa4yRDhK_slIRKKF0UpQ4JL4|OK||||||||||||||
Zippel Bay State Park MN|TRUE|Zippel Bay State Park, 3684 54th Ave NW, Williams, MN 56686, USA|48.847738|-94.84966|ChIJRZp23LTcvlIRacQewF4vYGU|OK||||||||||||||
