"Park"	"Hiking.Club"	"address"	"lat"	"long"	"place_id"	"status"
"Lake Maria State Park MN"	TRUE	"Lake Maria State Park, 11411 Clementa Ave NW, Monticello, MN 55362, USA"	"45.3179840"	"-93.9356570"	"ChIJVZOc2gWatFIRpusOTu6RuGs"	"OK"
"Lake Shetek State Park MN"	TRUE	"Lake Shetek State Park, 163 State Park Rd, Currie, MN 56123, USA"	"44.1021608"	"-95.6899334"	"ChIJY9ASn30Ii4cRDXR6orNlTYA"	"OK"
"Lake Vermilion-Soudan Underground Mine State Park MN"	TRUE	"Lake Vermilion-Soudan Underground Mine State Park, 1302 McKinley Park Rd, Soudan, MN 55782, USA"	"47.8195009"	"-92.2416908"	"ChIJgzzUFnkRpVIRC7he5F5xwws"	"OK"
"Maplewood State Park MN"	TRUE	"Maplewood State Park, 39721 Park Entrance Road, Pelican Rapids, MN 56572, USA"	"46.5193481"	"-95.9514937"	"ChIJq0jNaX2vyVIRAaZhrDzb9mY"	"OK"
"McCarthy Beach State Park MN"	TRUE	"McCarthy Beach State Park, 7622 McCarthy Beach Rd, Side Lake, MN 55781, USA"	"47.6710980"	"-93.0317960"	"ChIJfYzJlsW_ulIRqy-jFAsZI6U"	"OK"
"Mille Lacs Kathio State Park MN"	TRUE	"Kathio State Park Rd, Kathio Township, MN 56359, USA"	"46.1337379"	"-93.7437133"	"ChIJx_d4OE_9s1IRCzOZO3XWnTQ"	"OK"
"Minneopa State Park MN"	TRUE	"Minneopa State Park, 54497 Gadwall Rd, Mankato, MN 56001, USA"	"44.1563691"	"-94.0911643"	"ChIJFXJd8ChG9IcRQF_4Oik2pLc"	"OK"
"Minnesota Valley State Recreation Area MN"	TRUE	"Minnesota Valley State Recreation Area, 19825 Park Blvd, Jordan, MN 55352, USA"	"44.6662560"	"-93.6967970"	"ChIJg5X0HfQM9ocRMC9A0COZ3EI"	"OK"
"Monson Lake State Park MN"	TRUE	"Monson Lake State Park, 1690 15th St NE, Sunburg, MN 56289, USA"	"45.3184438"	"-95.2757758"	"ChIJL0yfLtCaylIRPFrs4i2BB9g"	"OK"
"Moose Lake State Park MN"	TRUE	"Moose Lake State Park, 4252 Co Rd 137, Moose Lake, MN 55767, USA"	"46.4358630"	"-92.7360880"	"ChIJpWn5GDbmsVIRrAPlewW4vc8"	"OK"
"Myre-Big Island State Park MN"	TRUE	"Myre-Big Island State Park, 19499 780th Ave, Albert Lea, MN 56007, USA"	"43.6371566"	"-93.3089334"	"ChIJ29dXpAgx8YcR5eBNLOC2PcM"	"OK"
"Nerstrand Big Woods State Park MN"	TRUE	"Nerstrand Big Woods State Park, 9700 170th St E, Nerstrand, MN 55053, USA"	"44.3422120"	"-93.1051670"	"ChIJ_3gHn-X_9ocRW70s2LhXwLg"	"OK"
"Old Mill State Park MN"	TRUE	"Old Mill State Park, 33489 240th Ave NW, Argyle, MN 56713, USA"	"48.3615230"	"-96.5669050"	"ChIJgUW6H_rZxlIRXFBlIZpR1BM"	"OK"
"Red River State Recreation Area MN"	TRUE	"Red River State Recreation Area, 515 2nd St NW, East Grand Forks, MN 56721, USA"	"47.9296431"	"-97.0291599"	"ChIJPQfeGryGxlIRHokPHReHMNw"	"OK"
"Rice Lake State Park MN"	TRUE	"Rice Lake, Merton Township, MN 55060, USA"	"44.1105196"	"-93.0460373"	"ChIJE5KnDu0e94cRQZpBOUZsR4Y"	"OK"
"St. Croix State Park MN"	TRUE	"St. Croix State Park, 30065 St Croix Park Rd, Hinckley, MN 55037, USA"	"46.0119822"	"-92.6176169"	"ChIJiQhsKRkMslIRN16qWvGz-ro"	"OK"
"Sakatah Lake State Park MN"	TRUE	"Sakatah Lake State Park, 50499 Sakatah Lake State Park Road, Waterville, MN 56096, United States"	"44.2189770"	"-93.5317750"	"ChIJQ3nu5k-O9ocRIsAuHPc5zno"	"OK"
"Savanna Portage State Park MN"	TRUE	"Savanna Portage State Park, 55626 Lake Pl, McGregor, MN 55760, USA"	"46.8184200"	"-93.1759430"	"ChIJOzl3TY9SsFIRhUzlH2HoTMo"	"OK"
"Scenic State Park MN"	TRUE	"Scenic State Park, 56956 Scenic Hwy, Bigfork, MN 56628, USA"	"47.7032549"	"-93.5668361"	"ChIJLbnHEmddulIRoHpPPHBGx5s"	"OK"
"Schoolcraft State Park MN"	TRUE	"Schoolcraft State Park, 9042 Schoolcraft Ln NE, Deer River, MN 56636, USA"	"47.2230894"	"-93.8049416"	"ChIJQ6DB_VG7sFIRLhDG7L7BZm8"	"OK"
"Sibley State Park MN"	TRUE	"Sibley State Park, 800 Sibley Park Rd NE, New London, MN 56273, USA"	"45.3244519"	"-95.0488697"	"ChIJf8Bp-aBktVIRTQ0LQoa8Yq0"	"OK"
"Split Rock Creek State Park MN"	TRUE	"Split Rock Creek State Park, 336 50th Ave, Jasper, MN 56144, USA"	"43.8959110"	"-96.3668441"	"ChIJm0lsvvTgi4cRxFRm4iA4S4A"	"OK"
"Split Rock Lighthouse State Park MN"	TRUE	"Split Rock Lighthouse State Park, 3755 Split Rock Lighthouse Road, Two Harbors, MN 55616, USA"	"47.1963898"	"-91.3912157"	"ChIJvcX13VhJr1IRdrXFakaY1aI"	"OK"
"Temperance River State Park MN"	TRUE	"Temperance River State Park, 7620 West Highway 61, Schroeder, MN 55613, United States"	"47.5558240"	"-90.8718190"	"ChIJtw75WYgkplIR9yqqucXKBr0"	"OK"
"Tettegouche State Park MN"	TRUE	"Tettegouche State Park, 5702 MN-61, Silver Bay, MN 55614, USA"	"47.3393554"	"-91.1959925"	"ChIJ7Sg2az2sqFIR-ljZsWlFKXI"	"OK"
"Upper Sioux Agency State Park MN"	TRUE	"Upper Sioux Agency State Park, 5908 MN-67, Granite Falls, MN 56241, USA"	"44.7372226"	"-95.4601579"	"ChIJMSHY1cCZiocRMtvAp3CuI6k"	"OK"
"Whitewater State Park MN"	TRUE	"Whitewater State Park, 19041 MN-74, Altura, MN 55910, USA"	"44.0626550"	"-92.0445420"	"ChIJybS2MmyW-YcRkM7vBrARIXM"	"OK"
"Wild River State Park MN"	TRUE	"Wild River State Park, 39797 Park Trail, Center City, MN 55012, USA"	"45.5230749"	"-92.7490594"	"ChIJs6WI9x5gslIRmTiTxsjKMS8"	"OK"
"William O'Brien State Park MN"	TRUE	"William O'Brien State Park, 16821 O'Brien Trail N, Marine on St Croix, MN 55047, USA"	"45.2174710"	"-92.7797272"	"ChIJa4yRDhK_slIRKKF0UpQ4JL4"	"OK"
"Zippel Bay State Park MN"	TRUE	"Zippel Bay State Park, 3684 54th Ave NW, Williams, MN 56686, USA"	"48.8477380"	"-94.8496600"	"ChIJRZp23LTcvlIRacQewF4vYGU"	"OK"
